Dialog_Act,Utterance
gt,"Jackie, How are you doing today?"
gt,Alrght. How about you?
gt,I'm doing well. Thanks for asking. I understand you've had some recent difficulties that have brought you to the agency
id,"Yeah, I lost my job."
crq,You lost your job?
id,Because I failed drug test.
crq,You failed a drug test.
id,"So I have to drive golf carts sometimes for my job and I just really was not paying attention as I was driving through the parking lot and I hit a car. Then think it was a big deal. It doesn't even leave a big mark. Really. The car owner got pretty pissed about it and I found out that I did it. I got admitted to it. So I didn't want to be getting in trouble for it. So, so then they, since it was an accident, you know, I kind of hit my head a little bit to maybe take a drug test, and I had smoked some weed the night before. So I filled it and was fired."
yq,Were you aware that this was an accident? You'd be protesting?
id,"Um, you know, I? I don't I didn't know that. Now. I guess they might have told me at some point, but I I probably wasn't paying attention to it or had it I wasn't prepared for it."
crq,So there have been consequences to losing your job.
cd,"Um, yeah, I mean, my parents are not happy. I'm not making any money, obviously. So they, they're not very happy, relying on them for gas money for it. never go anywhere, do anything with my friends ask them for money. So they're kinda, you know, pushing me to get a job and help support myself again."
irq,What type of work to do?
id,"Um, I work in security, I kind of monitor parking lot, you know, take tickets, things like that."
crq,"So, most of those employers would require a drug screen."
id,"Yeah, that's, that's my problem. I've been trying to look for a new job. And pretty much all of them have required drug tests. So I haven't gotten a new one yet. So that's becoming a problem. So that's why i wanna i want to cut down but I haven't been able to. So I really need a job. I mean, all these things. It's kind of silly that all you know. I find it silly. It should be. Who cares if I smoke a little weed, you know, too. be illegal."
yq,But you think it should be illegal?
op,"Yeah. So I mean, not causing some harm really, and hurt anyone. So So yeah, I really do need a job. So I'm here to kind of get a handle on that."
crq,So you want to stop using marijuana all together?
cd,"Yeah, I'm gonna have to get a job, I think No, I don't want a random drug test again."
irq,"All right, can you tell me about your marijuana use now? Like when was the last time used?"
id,"Um, I actually say now at some friends my roommate this morning. Well, not my roommate but my friend that comes over and stays with me sometimes. And we guys did some this 'morning so."
irq,So recently and how about the coke like when did you start using that for how long?
id,"long time ago, I've been using proudly for Since I mean, since I was in high school, I started that's kind of just a big part of my life. And my friends do it. My friends do. So, yeah."
irq,Any other drugs or alcohol or anything? 
id,Just is just marijuana. Yeah.
yq,Have you noticed over time you've been using more?
op,"Yeah, I mean you know, I, I try to cut down a little bit I'll kind of say hello, just smoke a little bit and then you know, I'm hanging with hanging out with my friends will end up just being high for a really long time. And let's just all do all night. So."
crq,So it's consuming a lot of time. 
cd,"Yeah, yeah. Yeah. kind of always thinking about how I'm gonna get more and trying to get home again. And so it really does take up a lot of time and it's kind of a distraction. So"
yq,you have a craving for marijuana
on,"No, No, I guess not really."
irq,"Now, have you had any social problems because your marijuana use?"
id,"let's say other than my work, there's the word mean, my friends I'll do it there's a problem with it. So"
yq,are there other important activities that you miss out on because of your marijuana use
on,"now, I mean, I don't really do a lot so I don't really miss out on much"
yq,Are there any activities that you engage in that are more dangerous because your marijuana use?
on,this time Out of my basement and don't really do anything. So
yq,do you have any history of mental health issues or medical issues? 
on,No. No
yq,Do you notice any anxiety or physical symptoms when you stop using my one?
on,"No, I feel feel okay."
orq,So how motivated are you to stop using?
od,"Part of me doesn't really want to, but it's something I have to do. You know, I need a new job and I don't want to be relying on my parents for forever. It's pretty annoying. So I'm pretty committed to it. I would say, Yeah,"
crq,you're committed to it. 
op,Yeah.
id,I'm gonna get you to see a counselor here if that's okay with you.
op,"Yeah, that'd be really helpful. be helpful."
gt,I appreciate you taking this time to tell me what's going on and answer my questions has been helpful.
gt,Thank you.
gt,"Jason, how you doing, sir? "
gt,Okay.
yq,You all right?
op,I'm just here.
crq,"You're just here, just here. I understand that you're in the hospital a couple weeks ago."
cd,"Yeah, I was in the hospital about two weeks ago did something and I had to go to the hospital afterwards."
irq,What happened?
id,"yeah, so about two weeks ago, I was finishing up this wonderful machine that I was creating in my room, so that the government can't hear my thoughts or my, my actions or my behaviors. And I was just trying to finish up my last little bit that I needed to build and I went over to the neighbor, because their garage was open and just picked out a tool and brought it back to the house. And when I was in the house working on my my room, the cops came and picked me up and took me to the hospital. So it's like, see the government data to get"
irq,what you think the government is trying to do.
id,"They're trying to stop me from actually creating my room. Because they're, they're creating this new order where they want everybody to follow them. And I'm not a follower. And I know what I want. And I know what I need. And I know what my family wants, and I know what they need. And I'm just trying to protect them by creating my room."
ci,And tell me about your room. What what are you doing there that makes that special.
id,So I was smart enough to know that there are frequencies and waves that are out there that the government is actually sending you through the lights and also through the TV and like through every electronic apparatus that is out there. And I'm actually creating doll or a wave neutralizer so that it can actually stop that from happening. So that you can actually live the life that you want and be happy and youthful and joyful all the time.
yq,Is that how you were feeling when you were building?
op,"Yeah, because I created this prototype in my room. And anytime I'm basically in there I was, it was good. I had energy. I didn't have everything that I wanted. But my prototype was running out of fuel. And so I needed to make it bigger, larger, so it can run longer."
crq,That's what you're trying to do
cd,"Yeah, that's what I was trying to do when I wouldn't borrowed the tools from my neighbor but yeah, and then also I was ordering some things that were online. And they were also supposed to become be shipped in so that the base piece that I was creating, that I use the tools for my neighbor's house. It could have been all perfect and set so that when All of the hard drives in the electrical wiring and all of that stuff came in, I could just plug it in. And then not only my room covered, but also my houses covered and all of my family, they could just be happy."
crq,"They could be happy, they could be happy, like, you know, you were happy."
cd,"I was happy, like, so two weeks ago, I was I was good. I, I was up, I did all the calculations that I need to create. So I can actually build my base in my system. But then I also did the calculations about the different types of waves being in the house, but then also out of the house, that I also had the opportunity to just not sleep because I need sleep. I wasn't tired. And if I did sleep, I slept for like 15 minutes, just because I needed to finish what I was going to do. And I was so close to finishing and my neighbour called cops."
